method,task,label,precision,recall,f1,support
Always Answer,gap_type,sufficient_information,0.14906832298136646,1.0,0.2594594594594595,24
Always Answer,gap_type,user_info_missing,0.0,0.0,0.0,10
Always Answer,gap_type,evidence_missing,0.0,0.0,0.0,40
Always Answer,gap_type,ambiguous_question,0.0,0.0,0.0,16
Always Answer,gap_type,false_premise,0.0,0.0,0.0,21
Always Answer,gap_type,time_sensitive,0.0,0.0,0.0,16
Always Answer,gap_type,high_risk_or_expert_needed,0.0,0.0,0.0,34
Always Answer,action,answer,0.14906832298136646,1.0,0.2594594594594595,24
Always Answer,action,ask,0.0,0.0,0.0,26
Always Answer,action,retrieve,0.0,0.0,0.0,43
Always Answer,action,abstain,0.0,0.0,0.0,47
Always Answer,action,challenge_premise,0.0,0.0,0.0,21
Always Ask,gap_type,sufficient_information,0.0,0.0,0.0,24
Always Ask,gap_type,user_info_missing,0.0,0.0,0.0,10
Always Ask,gap_type,evidence_missing,0.2484472049689441,1.0,0.39800995024875624,40
Always Ask,gap_type,ambiguous_question,0.0,0.0,0.0,16
Always Ask,gap_type,false_premise,0.0,0.0,0.0,21
Always Ask,gap_type,time_sensitive,0.0,0.0,0.0,16
Always Ask,gap_type,high_risk_or_expert_needed,0.0,0.0,0.0,34
Always Ask,action,answer,0.0,0.0,0.0,24
Always Ask,action,ask,0.16149068322981366,1.0,0.27807486631016043,26
Always Ask,action,retrieve,0.0,0.0,0.0,43
Always Ask,action,abstain,0.0,0.0,0.0,47
Always Ask,action,challenge_premise,0.0,0.0,0.0,21
RAG Similarity Threshold,gap_type,sufficient_information,0.0,0.0,0.0,24
RAG Similarity Threshold,gap_type,user_info_missing,0.1875,0.3,0.23076923076923078,10
RAG Similarity Threshold,gap_type,evidence_missing,0.29508196721311475,0.45,0.3564356435643564,40
RAG Similarity Threshold,gap_type,ambiguous_question,0.0,0.0,0.0,16
RAG Similarity Threshold,gap_type,false_premise,0.2857142857142857,0.47619047619047616,0.35714285714285715,21
RAG Similarity Threshold,gap_type,time_sensitive,0.4074074074074074,0.6875,0.5116279069767442,16
RAG Similarity Threshold,gap_type,high_risk_or_expert_needed,0.9090909090909091,0.5882352941176471,0.7142857142857143,34
RAG Similarity Threshold,action,answer,0.0,0.0,0.0,24
RAG Similarity Threshold,action,ask,0.5,0.3076923076923077,0.38095238095238093,26
RAG Similarity Threshold,action,retrieve,0.3522727272727273,0.7209302325581395,0.4732824427480916,43
RAG Similarity Threshold,action,abstain,0.9090909090909091,0.425531914893617,0.5797101449275363,47
RAG Similarity Threshold,action,challenge_premise,0.2857142857142857,0.47619047619047616,0.35714285714285715,21
Self-Consistency Baseline,gap_type,sufficient_information,0.0,0.0,0.0,24
Self-Consistency Baseline,gap_type,user_info_missing,0.0,0.0,0.0,10
Self-Consistency Baseline,gap_type,evidence_missing,0.32673267326732675,0.825,0.46808510638297873,40
Self-Consistency Baseline,gap_type,ambiguous_question,0.5,0.0625,0.1111111111111111,16
Self-Consistency Baseline,gap_type,false_premise,1.0,0.14285714285714285,0.25,21
Self-Consistency Baseline,gap_type,time_sensitive,0.41379310344827586,0.75,0.5333333333333333,16
Self-Consistency Baseline,gap_type,high_risk_or_expert_needed,0.92,0.6764705882352942,0.7796610169491526,34
Self-Consistency Baseline,action,answer,0.0,0.0,0.0,24
Self-Consistency Baseline,action,ask,0.5,0.038461538461538464,0.07142857142857142,26
Self-Consistency Baseline,action,retrieve,0.3153846153846154,0.9534883720930233,0.47398843930635837,43
Self-Consistency Baseline,action,abstain,0.92,0.48936170212765956,0.6388888888888888,47
Self-Consistency Baseline,action,challenge_premise,1.0,0.14285714285714285,0.25,21
Prompted LLM Baseline,gap_type,sufficient_information,0.525,0.875,0.65625,24
Prompted LLM Baseline,gap_type,user_info_missing,0.3181818181818182,0.7,0.4375,10
Prompted LLM Baseline,gap_type,evidence_missing,0.6764705882352942,0.575,0.6216216216216216,40
Prompted LLM Baseline,gap_type,ambiguous_question,0.5,0.25,0.3333333333333333,16
Prompted LLM Baseline,gap_type,false_premise,0.72,0.8571428571428571,0.782608695652174,21
Prompted LLM Baseline,gap_type,time_sensitive,0.8,0.75,0.7741935483870968,16
Prompted LLM Baseline,gap_type,high_risk_or_expert_needed,0.8235294117647058,0.4117647058823529,0.5490196078431373,34
Prompted LLM Baseline,action,answer,0.525,0.875,0.65625,24
Prompted LLM Baseline,action,ask,0.5333333333333333,0.6153846153846154,0.5714285714285714,26
Prompted LLM Baseline,action,retrieve,0.7083333333333334,0.7906976744186046,0.7472527472527473,43
Prompted LLM Baseline,action,abstain,0.8888888888888888,0.3404255319148936,0.49230769230769234,47
Prompted LLM Baseline,action,challenge_premise,0.72,0.8571428571428571,0.782608695652174,21
Logistic Regression,gap_type,sufficient_information,0.76,0.7916666666666666,0.7755102040816326,24
Logistic Regression,gap_type,user_info_missing,0.35294117647058826,0.6,0.4444444444444444,10
Logistic Regression,gap_type,evidence_missing,0.7419354838709677,0.575,0.647887323943662,40
Logistic Regression,gap_type,ambiguous_question,0.6,0.375,0.46153846153846156,16
Logistic Regression,gap_type,false_premise,0.6538461538461539,0.8095238095238095,0.723404255319149,21
Logistic Regression,gap_type,time_sensitive,0.625,0.9375,0.75,16
Logistic Regression,gap_type,high_risk_or_expert_needed,0.9642857142857143,0.7941176470588235,0.8709677419354839,34
Logistic Regression,action,answer,0.6551724137931034,0.7916666666666666,0.7169811320754716,24
Logistic Regression,action,ask,0.7391304347826086,0.6538461538461539,0.6938775510204082,26
Logistic Regression,action,retrieve,0.8222222222222222,0.8604651162790697,0.8409090909090909,43
Logistic Regression,action,abstain,0.8611111111111112,0.6595744680851063,0.7469879518072289,47
Logistic Regression,action,challenge_premise,0.6428571428571429,0.8571428571428571,0.7346938775510204,21
Random Forest,gap_type,sufficient_information,0.6060606060606061,0.8333333333333334,0.7017543859649122,24
Random Forest,gap_type,user_info_missing,0.45454545454545453,0.5,0.47619047619047616,10
Random Forest,gap_type,evidence_missing,0.6666666666666666,0.75,0.7058823529411765,40
Random Forest,gap_type,ambiguous_question,0.5714285714285714,0.5,0.5333333333333333,16
Random Forest,gap_type,false_premise,0.7333333333333333,0.5238095238095238,0.6111111111111112,21
Random Forest,gap_type,time_sensitive,0.7222222222222222,0.8125,0.7647058823529411,16
Random Forest,gap_type,high_risk_or_expert_needed,0.96,0.7058823529411765,0.8135593220338984,34
Random Forest,action,answer,0.5757575757575758,0.7916666666666666,0.6666666666666666,24
Random Forest,action,ask,0.6666666666666666,0.6923076923076923,0.6792452830188679,26
Random Forest,action,retrieve,0.8292682926829268,0.7906976744186046,0.8095238095238095,43
Random Forest,action,abstain,0.782608695652174,0.7659574468085106,0.7741935483870968,47
Random Forest,action,challenge_premise,0.7857142857142857,0.5238095238095238,0.6285714285714286,21
GBDT,gap_type,sufficient_information,0.625,0.8333333333333334,0.7142857142857143,24
GBDT,gap_type,user_info_missing,0.45454545454545453,0.5,0.47619047619047616,10
GBDT,gap_type,evidence_missing,0.5652173913043478,0.65,0.6046511627906976,40
GBDT,gap_type,ambiguous_question,0.6,0.375,0.46153846153846156,16
GBDT,gap_type,false_premise,0.8571428571428571,0.5714285714285714,0.6857142857142857,21
GBDT,gap_type,time_sensitive,0.6666666666666666,0.75,0.7058823529411765,16
GBDT,gap_type,high_risk_or_expert_needed,0.9,0.7941176470588235,0.84375,34
GBDT,action,answer,0.6206896551724138,0.75,0.6792452830188679,24
GBDT,action,ask,0.68,0.6538461538461539,0.6666666666666666,26
GBDT,action,retrieve,0.7555555555555555,0.7906976744186046,0.7727272727272727,43
GBDT,action,abstain,0.7551020408163265,0.7872340425531915,0.7708333333333334,47
GBDT,action,challenge_premise,0.8461538461538461,0.5238095238095238,0.6470588235294118,21
Text Encoder Classifier,gap_type,sufficient_information,0.625,0.20833333333333334,0.3125,24
Text Encoder Classifier,gap_type,user_info_missing,0.6666666666666666,0.4,0.5,10
Text Encoder Classifier,gap_type,evidence_missing,0.5365853658536586,0.55,0.5432098765432098,40
Text Encoder Classifier,gap_type,ambiguous_question,0.4,0.125,0.19047619047619047,16
Text Encoder Classifier,gap_type,false_premise,0.5789473684210527,0.5238095238095238,0.55,21
Text Encoder Classifier,gap_type,time_sensitive,0.16129032258064516,0.625,0.2564102564102564,16
Text Encoder Classifier,gap_type,high_risk_or_expert_needed,0.85,0.5,0.6296296296296297,34
Text Encoder Classifier,action,answer,0.5714285714285714,0.16666666666666666,0.25806451612903225,24
Text Encoder Classifier,action,ask,0.35714285714285715,0.19230769230769232,0.25,26
Text Encoder Classifier,action,retrieve,0.4148936170212766,0.9069767441860465,0.5693430656934306,43
Text Encoder Classifier,action,abstain,0.8518518518518519,0.48936170212765956,0.6216216216216216,47
Text Encoder Classifier,action,challenge_premise,0.631578947368421,0.5714285714285714,0.6,21
Full Method,gap_type,sufficient_information,0.6060606060606061,0.8333333333333334,0.7017543859649122,24
Full Method,gap_type,user_info_missing,0.45454545454545453,0.5,0.47619047619047616,10
Full Method,gap_type,evidence_missing,0.6666666666666666,0.65,0.6582278481012658,40
Full Method,gap_type,ambiguous_question,0.5714285714285714,0.5,0.5333333333333333,16
Full Method,gap_type,false_premise,0.6428571428571429,0.42857142857142855,0.5142857142857142,21
Full Method,gap_type,time_sensitive,0.56,0.875,0.6829268292682927,16
Full Method,gap_type,high_risk_or_expert_needed,0.96,0.7058823529411765,0.8135593220338984,34
Full Method,action,answer,0.5757575757575758,0.7916666666666666,0.6666666666666666,24
Full Method,action,ask,0.6666666666666666,0.6923076923076923,0.6792452830188679,26
Full Method,action,retrieve,0.7906976744186046,0.7906976744186046,0.7906976744186046,43
Full Method,action,abstain,0.7777777777777778,0.7446808510638298,0.7608695652173914,47
Full Method,action,challenge_premise,0.6923076923076923,0.42857142857142855,0.5294117647058824,21
